"filename", "language", "JSON with Comments", "HTML", "XML", "JavaScript", "JSON", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"e:\Workspace\Edu_Learn_Nest\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 6, 9, 103
"e:\Workspace\Edu_Learn_Nest\app\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"e:\Workspace\Edu_Learn_Nest\app\types\types.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"e:\Workspace\Edu_Learn_Nest\app\user\chat\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 173, 0, 0, 15, 188
"e:\Workspace\Edu_Learn_Nest\app\user\classes\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 0, 8, 64
"e:\Workspace\Edu_Learn_Nest\app\user\community\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 343, 0, 7, 31, 381
"e:\Workspace\Edu_Learn_Nest\app\user\documents\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 158, 0, 6, 15, 179
"e:\Workspace\Edu_Learn_Nest\app\user\exercises\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 291, 0, 0, 28, 319
"e:\Workspace\Edu_Learn_Nest\app\user\exercises\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 2, 11, 58
"e:\Workspace\Edu_Learn_Nest\app\user\grades\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 340, 0, 0, 12, 352
"e:\Workspace\Edu_Learn_Nest\app\user\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"e:\Workspace\Edu_Learn_Nest\app\user\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 292, 0, 9, 16, 317
"e:\Workspace\Edu_Learn_Nest\app\user\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 177, 0, 8, 8, 193
"e:\Workspace\Edu_Learn_Nest\eslint.config.mjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 2, 3, 19
"e:\Workspace\Edu_Learn_Nest\next.config.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 1, 3, 8
"e:\Workspace\Edu_Learn_Nest\package-lock.json", "JSON", 0, 0, 0, 0, 7695, 0, 0, 0, 0, 1, 7696
"e:\Workspace\Edu_Learn_Nest\package.json", "JSON", 0, 0, 0, 0, 33, 0, 0, 0, 0, 1, 34
"e:\Workspace\Edu_Learn_Nest\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"e:\Workspace\Edu_Learn_Nest\public\file.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Workspace\Edu_Learn_Nest\public\globe.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Workspace\Edu_Learn_Nest\public\next.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Workspace\Edu_Learn_Nest\public\vercel.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Workspace\Edu_Learn_Nest\public\window.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Workspace\Edu_Learn_Nest\tsconfig.json", "JSON with Comments", 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 34, 378, 6, 20, 7728, 65, 10553, 140, 219, 1133, 20276
